state,hasc,adm0_a3,_id,type,fips,capital,iso_a2,name,lng,lat
AL,US.AL.BR,USA,USA-AL-01005,County,01005,Clayton,US,"Barbour, Alabama",-85.3938956147233,31.8862175
AL,US.AL.CC,USA,USA-AL-01023,County,01023,Butler,US,"Choctaw, Alabama",-88.28213157288724,31.999659
AL,US.AL.CO,USA,USA-AL-01035,County,01035,Evergreen,US,"Conecuh, Alabama",-86.9435677515148,31.4900965
AL,US.AL.EL,USA,USA-AL-01051,County,01051,Wetumpka,US,"Elmore, Alabama",-86.15139331031398,32.552411000000006
AL,US.AL.HA,USA,USA-AL-01065,County,01065,Greensboro,US,"Hale, Alabama",-87.64135121678763,32.749825
AL,US.AL.PK,USA,USA-AL-01109,County,01109,Troy,US,"Pike, Alabama",-85.92796970232328,31.8452435
AL,US.AL.RU,USA,USA-AL-01113,County,01113,Phenix City,US,"Russell, Alabama",-85.1725558825774,32.279585499999996
AL,US.AL.SH,USA,USA-AL-01117,County,01117,Columbiana,US,"Shelby, Alabama",-86.6485201379528,33.289088500000005
AK,US.AK.AW,USA,USA-AK-02016,County,02016,Unalaska,US,"Aleutians West, Alaska",-176.5900937522636,51.7979415
AZ,US.AZ.MO,USA,USA-AZ-04015,County,04015,Kingman,US,"Mohave, Arizona",-113.99522855489337,35.598948
AR,US.AR.BR,USA,USA-AR-05011,County,05011,Warren,US,"Bradley, Arkansas",-92.16600828697406,33.434172000000004
AR,US.AR.CL,USA,USA-AR-05015,County,05015,"Berryville, Eureka Springs",US,"Carroll, Arkansas",-93.55662756471561,36.3096865
AR,US.AR.CK,USA,USA-AR-05019,County,05019,Arkadelphia,US,"Clark, Arkansas",-93.16240207572875,34.060304
AR,US.AR.CV,USA,USA-AR-05025,County,05025,Rison,US,"Cleveland, Arkansas",-92.1722251491968,33.862719
AR,US.AR.IN,USA,USA-AR-05063,County,05063,Batesville,US,"Independence, Arkansas",-91.58463014623902,35.730986
AR,US.AR.JA,USA,USA-AR-05067,County,05067,Newport,US,"Jackson, Arkansas",-91.20359465454281,35.584950000000006
AR,US.AR.ML,USA,USA-AR-05091,County,05091,Texarkana,US,"Miller, Arkansas",-93.86271410649248,33.3199285
AR,US.AR.UN,USA,USA-AR-05139,County,05139,El Dorado,US,"Union, Arkansas",-92.57957134381964,33.1978295
CA,US.CA.AA,USA,USA-CA-06001,County,06001,Oakland,US,"Alameda, California",-121.86883714995011,37.688598999999996
CA,US.CA.AP,USA,USA-CA-06003,County,06003,Markleeville,US,"Alpine, California",-119.84500512951664,38.638273999999996
CA,US.CA.HU,USA,USA-CA-06023,County,06023,Eureka,US,"Humboldt, California",-123.91655092116957,40.675222000000005
CA,US.CA.LK,USA,USA-CA-06033,County,06033,Lakeport,US,"Lake, California",-122.79305144606502,39.1297335
CA,US.CA.LO,USA,USA-CA-06037,County,06037,Los Angeles,US,"Los Angeles, California",-118.14353134863336,34.264798
CA,US.CA.NE,USA,USA-CA-06057,County,06057,Nevada City,US,"Nevada, California",-121.01116721755685,39.264569
CA,US.CA.SM,USA,USA-CA-06081,County,06081,Redwood City,US,"San Mateo, California",-122.30933133369506,37.4076785
CA,US.CA.SL,USA,USA-CA-06085,County,06085,San Jose,US,"Santa Clara, California",-121.72156410396337,37.1871555
CA,US.CA.YU,USA,USA-CA-06115,County,06115,Marysville,US,"Yuba, California",-121.43910547128522,39.2782125
CO,US.CO.BO,USA,USA-CO-08013,County,08013,Boulder,US,"Boulder, Colorado",-105.34414380091326,40.0942205
CO,US.CO.DT,USA,USA-CO-08029,County,08029,Delta,US,"Delta, Colorado",-107.80233966258967,38.9451945
CO,US.CO.JE,USA,USA-CO-08059,County,08059,Golden,US,"Jefferson, Colorado",-105.24020632711482,39.516739
CO,US.CO.OU,USA,USA-CO-08091,County,08091,Ouray,US,"Ouray, Colorado",-107.72753346346707,38.101580999999996
CT,US.CT.NH,USA,USA-CT-09009,County,09009,"New Haven, Waterbury",US,"New Haven, Connecticut",-72.90303960312406,41.3991035
DC,US.DC.DI,USA,USA-DC-11001,County,11001,Washington,US,"District of Columbia, District of Columbia",-76.99015943970414,38.896311499999996
FL,US.FL.BE,USA,USA-FL-12009,County,12009,Titusville,US,"Brevard, Florida",-80.73413388297315,28.2957845
FL,US.FL.GA,USA,USA-FL-12039,County,12039,Quincy,US,"Gadsden, Florida",-84.63301433673035,30.5532805
FL,US.FL.HG,USA,USA-FL-12055,County,12055,Sebring,US,"Highlands, Florida",-81.30444173031958,27.3351765
FL,US.FL.JE,USA,USA-FL-12065,County,12065,Monticello,US,"Jefferson, Florida",-83.93925190347716,30.377882999999997
FL,US.FL.LO,USA,USA-FL-12073,County,12073,Tallahassee,US,"Leon, Florida",-84.22029585487175,30.483064
FL,US.FL.PU,USA,USA-FL-12107,County,12107,Palatka,US,"Putnam, Florida",-81.78779592865045,29.571718
FL,US.FL.SE,USA,USA-FL-12117,County,12117,Sanford,US,"Seminole, Florida",-81.23898104981043,28.743672500000002
FL,US.FL.TA,USA,USA-FL-12123,County,12123,Perry,US,"Taylor, Florida",-83.60783353528265,29.9955225
FL,US.FL.WS,USA,USA-FL-12133,County,12133,Chipley,US,"Washington, Florida",-85.67307425966735,30.605244
GA,US.GA.BD,USA,USA-GA-13009,County,13009,Milledgeville,US,"Baldwin, Georgia",-83.25054898077755,33.0552515
GA,US.GA.BW,USA,USA-GA-13013,County,13013,Winder,US,"Barrow, Georgia",-83.71060883072673,34.018
GA,US.GA.BO,USA,USA-GA-13027,County,13027,Quitman,US,"Brooks, Georgia",-83.54908643041094,30.8691855
GA,US.GA.CI,USA,USA-GA-13073,County,13073,Appling,US,"Columbia, Georgia",-82.22612194616366,33.5232155
GA,US.GA.EF,USA,USA-GA-13103,County,13103,Springfield,US,"Effingham, Georgia",-81.32383320083605,32.3460365
GA,US.GA.HD,USA,USA-GA-13149,County,13149,Franklin,US,"Heard, Georgia",-85.11250581118321,33.279665
GA,US.GA.LB,USA,USA-GA-13179,County,13179,Hinesville,US,"Liberty, Georgia",-81.52713515791189,31.823898999999997
GA,US.GA.MU,USA,USA-GA-13189,County,13189,Thomson,US,"McDuffie, Georgia",-82.49091894151363,33.4742785
GA,US.GA.MT,USA,USA-GA-13205,County,13205,Camilla,US,"Mitchell, Georgia",-84.17526687264655,31.269229000000003
GA,US.GA.PR,USA,USA-GA-13229,County,13229,Blackshear,US,"Pierce, Georgia",-82.22089316600182,31.3693535
GA,US.GA.TT,USA,USA-GA-13267,County,13267,Reidsville,US,"Tattnall, Georgia",-82.0697894740758,32.06597
GA,US.GA.UN,USA,USA-GA-13291,County,13291,Blairsville,US,"Union, Georgia",-83.96174403552436,34.8129135
GA,US.GA.WY,USA,USA-GA-13305,County,13305,Jesup,US,"Wayne, Georgia",-81.91672998404383,31.577116
GA,US.GA.WI,USA,USA-GA-13319,County,13319,Irwinton,US,"Wilkinson, Georgia",-83.14840412449087,32.7808605
HI,US.HI.KU,USA,USA-HI-15007,County,15007,Lihue,US,"Kauai, Hawaii",-159.55697941939934,22.0509165
ID,US.ID.BS,USA,USA-ID-16015,County,16015,Idaho City,US,"Boise, Idaho",-115.77315917090613,43.9642195
ID,US.ID.CM,USA,USA-ID-16025,County,16025,Fairfield,US,"Camas, Idaho",-114.83348270991806,43.519085000000004
ID,US.ID.CA,USA,USA-ID-16033,County,16033,Dubois,US,"Clark, Idaho",-112.33410116006392,44.2754525
ID,US.ID.EL,USA,USA-ID-16039,County,16039,Mountain Home,US,"Elmore, Idaho",-115.5309106197211,43.394055
ID,US.ID.FA,USA,USA-ID-16041,County,16041,Preston,US,"Franklin, Idaho",-111.84595680263487,42.21557
ID,US.ID.FE,USA,USA-ID-16043,County,16043,Saint Anthony,US,"Fremont, Idaho",-111.42003343889844,44.359222
ID,US.ID.LW,USA,USA-ID-16061,County,16061,Nezperce,US,"Lewis, Idaho",-116.3612369657987,46.2317695
ID,US.ID.VA,USA,USA-ID-16085,County,16085,Cascade,US,"Valley, Idaho",-115.65807991153778,44.680941000000004
IL,US.IL.AL,USA,USA-IL-17003,County,17003,Cairo,US,"Alexander, Illinois",-89.34620629251427,37.153737500000005
IL,US.IL.CO,USA,USA-IL-17031,County,17031,Chicago,US,"Cook, Illinois",-87.7546465816263,41.820762
IL,US.IL.DU,USA,USA-IL-17043,County,17043,Wheaton,US,"DuPage, Illinois",-88.08996982133326,41.8575785
IL,US.IL.LK,USA,USA-IL-17097,County,17097,Waukegan,US,"Lake, Illinois",-88.01446794932195,42.331554
IL,US.IL.MC,USA,USA-IL-17115,County,17115,Decatur,US,"Macon, Illinois",-88.98160881091302,39.867425999999995
IL,US.IL.RO,USA,USA-IL-17161,County,17161,Rock Island,US,"Rock Island, Illinois",-90.30819334003476,41.5530095
IL,US.IL.WL,USA,USA-IL-17197,County,17197,Joliet,US,"Will, Illinois",-87.88895611358265,41.466471
IN,US.IN.DI,USA,USA-IN-18027,County,18027,Washington,US,"Daviess, Indiana",-87.0957463718297,38.7064005
IN,US.IN.HI,USA,USA-IN-18061,County,18061,Corydon,US,"Harrison, Indiana",-86.13492235558093,38.1950655
IN,US.IN.PE,USA,USA-IN-18123,County,18123,Cannelton,US,"Perry, Indiana",-86.6095236973053,38.055693500000004
IN,US.IN.SP,USA,USA-IN-18147,County,18147,Rockport,US,"Spencer, Indiana",-87.01392043213104,37.992784
IN,US.IN.TP,USA,USA-IN-18157,County,18157,Lafayette,US,"Tippecanoe, Indiana",-86.8937090560171,40.399384
IA,US.IA.CY,USA,USA-IA-19041,County,19041,Spencer,US,"Clay, Iowa",-95.15096823875828,43.0824755
IA,US.IA.CN,USA,USA-IA-19045,County,19045,Clinton,US,"Clinton, Iowa",-90.53355550205744,41.871427
IA,US.IA.LE,USA,USA-IA-19111,County,19111,"Fort Madison, Keokuk",US,"Lee, Iowa",-91.53627245181548,40.5897025
IA,US.IA.MR,USA,USA-IA-19135,County,19135,Albia,US,"Monroe, Iowa",-92.86906615070694,41.0298765
KS,US.KS.CA,USA,USA-KS-20025,County,20025,Ashland,US,"Clark, Kansas",-99.81632513524298,37.19160176121165
KS,US.KS.GT,USA,USA-KS-20067,County,20067,Ulysses,US,"Grant, Kansas",-101.30804825650573,37.562353
KS,US.KS.KM,USA,USA-KS-20095,County,20095,Kingman,US,"Kingman, Kansas",-98.13622267384392,37.603429500000004
KS,US.KS.WA,USA,USA-KS-20199,County,20199,Sharon Springs,US,"Wallace, Kansas",-101.7639050386527,38.873602000000005
KY,US.KY.BA,USA,USA-KY-21007,County,21007,Wickliffe,US,"Ballard, Kentucky",-89.0089676257187,37.09361798951425
KY,US.KY.BU,USA,USA-KY-21017,County,21017,Paris,US,"Bourbon, Kentucky",-84.22554189114953,38.218533
KY,US.KY.BR,USA,USA-KY-21031,County,21031,Morgantown,US,"Butler, Kentucky",-86.65852024849539,37.200134000000006
KY,US.KY.ES,USA,USA-KY-21065,County,21065,Irvine,US,"Estill, Kentucky",-83.93187589592782,37.7017245
KY,US.KY.FE,USA,USA-KY-21069,County,21069,Flemingsburg,US,"Fleming, Kentucky",-83.67804973852972,38.3487315
KY,US.KY.HT,USA,USA-KY-21099,County,21099,Munfordville,US,"Hart, Kentucky",-85.90518644194277,37.2948095
KY,US.KY.LU,USA,USA-KY-21125,County,21125,London,US,"Laurel, Kentucky",-84.1147742496922,37.139134999999996
KY,US.KY.LC,USA,USA-KY-21127,County,21127,Louisa,US,"Lawrence, Kentucky",-82.75117472075345,38.080246
KY,US.KY.LS,USA,USA-KY-21131,County,21131,Hyden,US,"Leslie, Kentucky",-83.35793970852404,37.091547500000004
KY,US.KY.MD,USA,USA-KY-21151,County,21151,Richmond,US,"Madison, Kentucky",-84.29130278349308,37.714430500000006
KY,US.KY.NE,USA,USA-KY-21179,County,21179,Bardstown,US,"Nelson, Kentucky",-85.52868514159091,37.7563205
KY,US.KY.OS,USA,USA-KY-21189,County,21189,Booneville,US,"Owsley, Kentucky",-83.68467457828487,37.405775500000004
KY,US.KY.PI,USA,USA-KY-21195,County,21195,Pikeville,US,"Pike, Kentucky",-82.32149320749174,37.4804745
KY,US.KY.TA,USA,USA-KY-21217,County,21217,Campbellsville,US,"Taylor, Kentucky",-85.30275069241537,37.335108
KY,US.KY.WO,USA,USA-KY-21239,County,21239,Versailles,US,"Woodford, Kentucky",-84.7449290957018,38.020093
LA,US.LA.BE,USA,USA-LA-22011,County,22011,De Ridder,US,"Beauregard, Louisiana",-93.31537989764772,30.6675005
LA,US.LA.BI,USA,USA-LA-22013,County,22013,Arcadia,US,"Bienville, Louisiana",-93.0939221170087,32.3700245
LA,US.LA.CW,USA,USA-LA-22021,County,22021,Columbia,US,"Caldwell, Louisiana",-92.09216213992005,32.098713000000004
LA,US.LA.CR,USA,USA-LA-22029,County,22029,Vidalia,US,"Concordia, Louisiana",-91.70008244781302,31.3677705
LA,US.LA.EB,USA,USA-LA-22033,County,22033,Baton Rouge,US,"East Baton Rouge, Louisiana",-91.08704300761526,30.5122535
LA,US.LA.NA,USA,USA-LA-22069,County,22069,Natchitoches,US,"Natchitoches, Louisiana",-93.20607639707325,31.7470005
LA,US.LA.PL,USA,USA-LA-22075,County,22075,Pointe a la Hache,US,"Plaquemines, Louisiana",-89.68060112952145,29.418633
LA,US.LA.PO,USA,USA-LA-22077,County,22077,New Roads,US,"Pointe Coupee, Louisiana",-91.67444427060184,30.752858500000002
LA,US.LA.RI,USA,USA-LA-22083,County,22083,Rayville,US,"Richland, Louisiana",-91.7334369040849,32.409828000000005
LA,US.LA.SE,USA,USA-LA-22087,County,22087,Chalmette,US,"Saint Bernard, Louisiana",-89.60742293360903,29.8512375
LA,US.LA.SR,USA,USA-LA-22099,County,22099,Saint Martinville,US,"Saint Martin, Louisiana",-91.77607299904685,30.26871
