area,city,confirmed,died,cured,confirmedRelative,name,lat,lng
西藏,拉萨,1,0,1,0,拉萨市,3459966.698968909,10144791.433292488
青海,西宁,15,0,15,0,西宁市,4386712.0084409,11329977.101034218
贵州,六盘水,10,1,9,0,六盘水市,3071673.5325256353,11671486.040468536
贵州,贵阳,36,1,35,0,贵阳市,3070889.3284355197,11879290.030085592
贵州,遵义,32,0,32,0,遵义市,3212036.1377413464,11904201.884968279
贵州,安顺,4,0,4,0,安顺市,3029524.539718708,11792317.22513582
吉林,延边,5,0,5,0,延边朝鲜族自治州,5297496.138560424,14417346.58994623
吉林,四平,15,1,14,0,四平市,5337935.986720889,13844892.453832483
吉林,通化,6,0,6,0,通化市,5119304.183717014,14019187.161655102
吉林,吉林市,5,0,5,0,吉林市,5441267.186828763,14087817.742789928
吉林,松原,2,0,2,0,松原市,5640155.673570514,13895300.479604946
吉林,长春,45,0,45,0,长春市,5447947.233503104,13951059.52197961
吉林,辽源,7,0,7,0,辽源市,5297172.2854546225,13931116.523887282
吉林,白城,1,0,1,0,白城市,5719506.647572021,13674610.25705495
吉林,白山,0,0,0,0,白山市,5152370.858216961,14073882.657614876
新疆,乌鲁木齐,23,0,23,0,乌鲁木齐市,5433436.070442532,9753561.420663295
新疆,阿克苏地区,1,0,1,0,阿克苏地区,5037554.346394398,8935066.497003706
新疆,巴音郭楞蒙古自治州,3,0,3,0,巴音郭楞蒙古自治州,5126372.459697266,9590281.999092117
宁夏,中卫,4,0,4,0,中卫市,4511129.454293547,11709649.144894429
宁夏,吴忠,28,0,28,0,吴忠市,4577471.575050622,11822064.130780952
宁夏,银川,36,0,36,0,银川市,4645519.3648164505,11830832.767069515
宁夏,固原,5,0,5,0,固原市,4301248.976161664,11831618.905313388
宁夏,石嘴山,1,0,1,0,石嘴山市,4723581.1599508375,11841741.409248793
内蒙古,锡林郭勒盟,9,0,9,0,锡林郭勒盟,5456782.922317118,12923190.558605038
内蒙古,包头,11,0,11,0,包头市,4962051.519341633,12227377.951424876
内蒙古,呼伦贝尔,7,0,7,0,呼伦贝尔市,6311478.195814623,13331418.27823956
内蒙古,呼和浩特,7,0,7,0,呼和浩特市,4985579.4014125345,12431136.702066557
内蒙古,兴安盟,1,0,1,0,兴安盟,5792579.654819068,13588805.52752191
内蒙古,巴彦淖尔,8,1,7,0,巴彦淖尔市,4976624.099059305,11957601.176777434
内蒙古,赤峰,9,0,9,0,赤峰市,5202310.229663089,13242211.068470899
内蒙古,通辽,7,0,7,0,通辽市,5406428.0598248895,13610268.147982847
内蒙古,鄂尔多斯,11,0,11,0,鄂尔多斯市,4839410.68667364,12244063.073300105
内蒙古,乌兰察布,3,0,3,0,乌兰察布市,5017376.544190779,12591853.326321049
内蒙古,乌海,2,0,2,0,乌海市,4818642.850424311,11891767.27520942
内蒙古,阿拉善盟,0,0,0,0,阿拉善盟,4699466.823847799,11767185.068980886
甘肃,平凉,9,0,9,0,平凉市,4237890.98584658,11876085.475904573
甘肃,金昌,1,0,1,0,金昌市,4652327.273188934,11375503.655816589
甘肃,天水,12,0,12,0,天水市,4106751.408522212,11769252.939841574
甘肃,张掖,2,0,2,0,张掖市,4712064.195811901,11182651.988881314
甘肃,陇南,4,0,4,0,陇南市,3946998.1716264253,11680685.03790845
甘肃,白银,4,0,4,0,白银市,4375968.222943117,11596552.772404857
甘肃,兰州,36,2,34,0,兰州市,4308610.389893296,11557585.495977584
甘肃,定西,9,0,9,0,定西市,4242925.094050393,11646945.770046066
甘肃,庆阳,3,0,3,0,庆阳市,4264111.536698581,11982248.759189015
甘肃,武威,0,0,0,0,武威市,4569541.3094033,11425242.206171516
甘肃,酒泉,0,0,0,0,酒泉市,4828813.825504233,10966171.535514057
山西,朔州,8,0,8,0,朔州市,4769233.559088185,12516027.387260819
山西,晋中,37,0,37,0,晋中市,4536639.012642682,12549765.875886766
山西,运城,19,0,19,0,运城市,4166977.013697245,12356903.967558341
山西,阳泉,4,0,4,0,阳泉市,4559834.84847353,12644033.447067205
山西,吕梁,6,0,6,0,吕梁市,4512450.86938051,12371417.580126967
山西,大同,12,0,12,0,大同市,4879074.573610602,12611970.539416445
山西,长治,8,0,8,0,长治市,4326950.0522241285,12591743.453983651
山西,临汾,2,0,2,0,临汾市,4312206.467986325,12414123.96692997
山西,太原,21,0,20,0,太原市,4559246.331200392,12528924.974781826
山西,晋城,10,0,10,0,晋城市,4231703.87213686,12562546.355303474
山西,忻州,7,0,7,0,忻州市,4638600.6045246385,12549440.04373726
辽宁,朝阳,6,1,5,0,朝阳市,5097789.185672196,13408563.575904489
辽宁,铁岭,7,0,7,0,铁岭市,5204607.545202391,13786282.074021038
辽宁,葫芦岛,12,1,11,0,葫芦岛市,4976355.16563549,13453672.237318477
辽宁,锦州,12,0,12,0,锦州市,5029949.7622242365,13484769.114428269
辽宁,大连,18,0,18,0,大连市,4709444.695997291,13538523.070135042
辽宁,营口,1,0,1,0,营口市,4963411.0256210985,13607154.764464773
辽宁,丹东,11,0,11,0,丹东市,4884021.108625695,13846257.119469926
辽宁,沈阳,28,0,28,0,沈阳市,5130584.573796223,13740064.113881448
辽宁,辽阳,3,0,3,0,辽阳市,5052159.974639481,13712504.079632651
辽宁,盘锦,11,0,11,0,盘锦市,5030720.400263475,13588722.371862298
辽宁,本溪,3,0,3,0,本溪市,5056382.976518843,13778071.148381267
辽宁,鞍山,4,0,4,0,鞍山市,5028672.691948823,13691811.12213095
辽宁,阜新,8,0,8,0,阜新市,5162746.590732942,13541900.50348524
辽宁,抚顺,1,0,1,0,抚顺市,5142416.326386024,13794834.750497494
黑龙江,鹤岗,5,0,5,0,鹤岗市,5996448.255734293,14502423.512648564
黑龙江,七台河,17,0,17,0,七台河市,5743769.896110369,14584588.094833173
黑龙江,大兴安岭地区,3,0,3,0,大兴安岭地区,6860973.616924552,13882823.568439595
黑龙江,佳木斯,15,0,15,0,佳木斯市,5911052.108159219,14511790.713839043
黑龙江,牡丹江,25,0,18,0,牡丹江市,5556104.597722025,14429076.76996745
黑龙江,鸡西,46,0,46,0,鸡西市,5668881.920866688,14580177.839247536
黑龙江,绥化,47,4,43,0,绥化市,5883086.924874603,14136788.299977979
黑龙江,齐齐哈尔,43,1,42,0,齐齐哈尔市,5998090.244977032,13798932.532272516
黑龙江,双鸭山,52,3,49,0,双鸭山市,5884067.694340691,14600364.293066196
黑龙江,哈尔滨,263,4,230,0,哈尔滨市,5741488.179415376,14097774.603323054
黑龙江,大庆,27,1,26,0,大庆市,5875525.434987221,13927484.280222693
黑龙江,黑河,14,0,14,0,黑河市,6489612.288149353,14193126.315024177
黑龙江,伊春,1,0,1,0,伊春市,6061188.7297810875,14349015.124283126
海南,琼海,6,1,5,0,琼海市,2183921.2445072723,12297106.254058262
海南,万宁,13,0,13,0,万宁市,2130958.279789688,12288424.224333523
海南,东方,3,1,2,0,东方市,2166946.0942906053,12095284.462556113
海南,海口,39,0,39,0,海口市,2276818.715360771,12282011.887706248
海南,三亚,54,1,53,0,三亚市,2066582.0266675432,12190404.629716417
海南,文昌,3,0,3,0,文昌市,2227239.7233137186,12329076.09861473
海南,三沙,0,0,0,0,三沙市,1901165.8195931278,12506613.431884214
河北,张家口,41,0,41,0,张家口市,4984636.567794297,12788838.508587882
河北,保定,32,0,32,0,保定市,4702732.262949435,12855434.280750781
河北,邢台,23,1,22,0,邢台市,4448617.255284689,12747066.982868431
河北,沧州,48,3,45,0,沧州市,4623394.018622922,13008513.052104026
河北,石家庄,29,0,29,0,石家庄市,4585851.756494967,12746355.65132236
河北,承德,7,0,7,0,承德市,5008832.3919212725,13128926.343402931
河北,廊坊,30,0,30,0,廊坊市,4796999.914662868,12991478.943625212
河北,邯郸,32,0,32,0,邯郸市,4385199.562434478,12745044.86431845
河北,衡水,8,0,8,0,衡水市,4542071.195805957,12875879.441066008
河北,唐山,58,1,57,0,唐山市,4813058.711211694,13155224.571223766
河北,秦皇岛,10,1,9,0,秦皇岛市,4857594.55134965,13312317.078136494
陕西,榆林,3,0,3,0,榆林市,4620497.453728929,12216333.72210583
陕西,西安,120,3,117,0,西安区,5555802.951344872,14428465.403324097
陕西,咸阳,17,0,17,0,咸阳市,4073663.096087308,12100998.269378755
陕西,商洛,7,0,7,0,商洛市,4011134.1598164295,12238439.880542954
陕西,安康,26,0,26,0,安康市,3854268.248459937,12137083.150231317
陕西,延安,8,0,8,0,延安市,4383017.467995342,12188461.214046417
陕西,汉中,26,0,26,0,汉中市,3905617.6342742345,11914371.588367773
陕西,宝鸡,13,0,13,0,宝鸡市,4078500.4673720035,11927312.3678512
陕西,渭南,15,0,15,0,渭南市,4096055.428277359,12189805.062939087
陕西,铜川,8,0,8,0,铜川市,4152550.7408717647,12131554.467721839
云南,丽江,7,0,7,0,丽江市,3107502.399564306,11157889.413435759
云南,保山,9,0,9,0,保山市,2889483.2406739634,11039234.747452162
云南,昭通,25,0,25,0,昭通市,3165638.780415374,11545747.670008786
云南,曲靖,13,0,13,0,曲靖市,2937476.469361903,11554723.917147651
云南,西双版纳傣族自治州,15,1,14,0,西双版纳傣族自治州,2511732.222536008,11220775.463568488
云南,玉溪,14,1,13,0,玉溪市,2796171.830589773,11415135.509603802
云南,普洱,4,0,4,0,普洱市,2605111.499733295,11240189.916718606
云南,昆明,53,0,53,0,昆明市,2880733.3494544015,11433875.477959296
云南,临沧,1,0,1,0,临沧市,2739591.8834151034,11141630.53389072
云南,文山,2,0,2,0,文山壮族苗族自治州,2676766.207909042,11604390.109833574
广西,桂林,32,0,32,0,桂林市,2909463.526614341,12278441.982956495
广西,河池,28,1,27,0,河池市,2838438.639383453,12029418.500974754
广西,南宁,55,0,55,0,南宁市,2610750.660663925,12058127.68632685
广西,防城港,19,0,19,0,防城港市,2465319.490048028,12060963.439034926
广西,贺州,4,0,4,0,贺州市,2803954.810719751,12417918.06913415
广西,柳州,24,0,24,0,柳州市,2791792.6933978577,12179655.06308946
广西,玉林,11,0,11,0,玉林市,2587498.32443609,12262330.935695209
广西,北海,44,1,43,0,北海市,2448410.011518693,12147099.789330991
广西,钦州,8,0,8,0,钦州市,2507578.895557054,12091987.847156217
广西,梧州,5,0,5,0,梧州市,2689539.9142217766,12389592.602066763
广西,百色,3,0,3,0,百色市,2740952.468006496,11868470.554818427
广西,贵港,8,0,8,0,贵港市,2643341.9053446664,12200855.080871653
广西,来宾,11,0,11,0,来宾市,2720999.7326747715,12159402.59681277
福建,厦门,35,0,35,0,厦门市,2813289.4193534716,13147969.546051303
福建,南平,20,0,20,0,南平市,3078021.4486149545,13155565.876782488
福建,莆田,56,0,56,0,莆田市,2928778.185199496,13247860.755266855
福建,泉州,47,0,47,0,泉州市,2864553.414358856,13201313.957351508
福建,漳州,20,0,20,0,漳州市,2815787.866755716,13098051.771316223
福建,三明,14,0,14,0,三明市,3031994.636699366,13095068.40896338
福建,宁德,26,0,26,0,宁德市,3080962.4157699,13305693.902393688
福建,龙岩,6,0,6,0,龙岩市,2887000.1894550063,13027695.515435362
