county,income
大兴区,847148
怀柔区,379793
平谷区,296339
密云区,330388
延庆区,161608
宝坻区,645000
宁河区,261892
静海区,695131
蓟州区,253365
藁城区,365702
鹿泉区,230078
栾城区,117618
正定县,222061
平山县,123173
丰南区,397342
丰润区,238090
曹妃甸区,670462
滦县,172400
滦南县,110058
乐亭县,137076
迁西县,123918
玉田县,102193
遵化市,123618
迁安市,405223
昌黎县,106018
永年区,127353
涉县,117102
武安市,416046
邢台县,100549
沙河市,101280
徐水区,135669
涿州市,261452
高碑店市,117625
怀来县,154088
沧县,100168
肃宁县,103872
任丘市,320289
黄骅市,163726
河间市,103727
固安县,413595
永清县,145523
香河县,333338
大厂回族自治县,244200
霸州市,235487
三河市,542097
定州市,200295
辛集市,146180
长治县,152027
襄垣县,139432
长子县,120070
沁源县,110333
沁水县,127409
阳城县,133918
泽州县,152658
高平市,147573
山阴县,114556
和顺县,109748
灵石县,160706
介休市,129075
河津市,310560
宁武县,169366
乡宁县,126229
兴县,133309
临县,150017
柳林县,240749
孝义市,209782
土默特左旗,184377
托克托县,205865
和林格尔县,138724
土默特右旗,132067
霍林郭勒市,115734
东胜区,416548
达拉特旗,130103
准格尔旗,673831
鄂托克旗,207542
乌审旗,356980
伊金霍洛旗,630018
海拉尔区,103632
满洲里市,102155
临河区,172804
集宁区,113907
商都县,284251
锡林浩特市,196283
西乌珠穆沁旗,183959
新民市,104326
普兰店区,165914
瓦房店市,511356
庄河市,261683
海城市,243410
东港市,131039
凤城市,110890
凌海市,100209
盖州市,227035
大石桥市,160613
灯塔市,131230
大洼区,311372
盘山县,127352
绥中县,108488
兴城市,111593
九台区,269444
农安县,142962
榆树市,100400
德惠市,107965
磐石市,131305
公主岭市,217805
梅河口市,210539
前郭尔罗斯蒙古族自治县,107457
大安市,105995
延吉市,261361
敦化市,174047
珲春市,188246
呼兰区,145428
双城区,179840
肇东市,170409
奉贤区,1281111
崇明区,1038911
浦口区,1075364
江宁区,2264606
六合区,1084837
溧水区,566618
高淳区,281664
锡山区,787894
江阴市,2351560
宜兴市,1111500
铜山区,658201
丰县,250000
沛县,544611
睢宁县,399165
新沂市,474565
邳州市,600510
武进区,1637451
金坛区,511918
溧阳市,613778
吴中区,1439304
吴江区,1835198
常熟市,1918107
张家港市,2100088
昆山市,3525088
太仓市,1408616
通州区,727483
海安县,600135
如东县,555588
启东市,711282
如皋市,713060
海门市,725403
赣榆区,231745
东海县,211167
灌云县,205658
灌南县,218838
淮安区,210945
淮阴区,255730
洪泽区,164593
涟水县,192002
盱眙县,183024
金湖县,201828
盐都区,345197
大丰区,525006
响水县,239012
滨海县,273002
阜宁县,261444
射阳县,241800
建湖县,263166
东台市,540066
邗江区,547483
江都区,526565
宝应县,275856
仪征市,477947
高邮市,326276
丹徒区,220071
丹阳市,610499
扬中市,320046
句容市,440011
姜堰区,339591
兴化市,360589
靖江市,600913
泰兴市,631126
宿豫区,188019
沭阳县,480018
泗阳县,262089
泗洪县,263386
萧山区,2274820
余杭区,2800053
富阳区,637020
临安区,433009
桐庐县,278292
淳安县,172688
建德市,244007
鄞州区,2416460
奉化区,429354
象山县,392698
宁海县,554779
余姚市,906480
慈溪市,1573080
永嘉县,315959
平阳县,297950
苍南县,337222
瑞安市,634679
乐清市,794030
嘉善县,517178
海盐县,406520
海宁市,777242
平湖市,688688
桐乡市,616900
德清县,486632
长兴县,494980
安吉县,395208
柯桥区,1140629
上虞区,701094
新昌县,363600
诸暨市,770087
嵊州市,380222
武义县,242808
浦江县,177883
兰溪市,241800
义乌市,849995
东阳市,585778
永康市,523569
衢江区,136774
龙游县,148161
江山市,166709
岱山县,155195
三门县,167830
天台县,192068
仙居县,185250
温岭市,680900
临海市,542928
玉环市,484919
青田县,168400
缙云县,130521
长丰县,551412
肥东县,565980
肥西县,809244
庐江县,307357
巢湖市,309651
芜湖县,425725
繁昌县,476157
南陵县,283579
无为县,358499
怀远县,291344
五河县,171893
固镇县,167530
凤台县,243068
寿县,160737
当涂县,469437
含山县,164976
和县,261009
濉溪县,335756
义安区,149782
怀宁县,194666
潜山县,118920
宿松县,115639
桐城市,251168
歙县,120445
来安县,248172
全椒县,244727
定远县,146882
凤阳县,273224
天长市,458603
明光市,164812
临泉县,200171
太和县,402052
颍上县,302776
界首市,310100
萧县,167610
霍邱县,195425
舒城县,210231
涡阳县,208859
蒙城县,282766
利辛县,200072
东至县,147629
郎溪县,173035
广德县,375645
泾县,130238
宁国市,449472
闽侯县,710942
连江县,461308
罗源县,127210
闽清县,172620
平潭县,296708
福清市,1003125
长乐市,650320
仙游县,320103
永安市,176108
惠安县,388887
安溪县,265695
永春县,115875
德化县,164542
石狮市,601069
晋江市,2122345
南安市,702869
云霄县,113332
漳浦县,292578
长泰县,200832
东山县,176299
南靖县,117451
龙海市,876402
建阳区,161194
邵武市,158383
武夷山市,109307
建瓯市,118139
长汀县,109125
上杭县,251308
武平县,117336
霞浦县,122458
福安市,347640
福鼎市,255315
新建区,650437
南昌县,918952
进贤县,156863
浮梁县,146100
乐平市,403167
上栗县,160557
芦溪县,106687
柴桑区,185588
武宁县,187869
修水县,238866
永修县,240121
德安县,120513
都昌县,148700
湖口县,303800
彭泽县,153557
瑞昌市,300166
共青城市,201815
庐山市,130578
分宜县,315334
余江县,127750
贵溪市,320350
南康区,192400
赣县区,153366
信丰县,118073
龙南县,133561
定南县,114400
于都县,192961
瑞金市,123998
吉安县,185208
吉水县,100780
永丰县,113906
泰和县,128546
遂川县,100788
安福县,130652
奉新县,238000
万载县,147258
上高县,273633
宜丰县,129231
丰城市,497223
樟树市,553384
高安市,401394
东乡区,158179
南城县,152743
黎川县,107560
崇仁县,112700
宜黄县,100006
金溪县,107441
广丰区,292161
上饶县,234541
玉山县,285321
铅山县,149277
弋阳县,150320
余干县,110720
鄱阳县,180166
万年县,187812
婺源县,145100
德兴市,294759
长清区,203567
章丘区,520832
平阴县,200661
济阳县,206818
商河县,100116
即墨区,1043467
胶州市,965177
平度市,542112
莱西市,511215
桓台县,352891
高青县,145775
沂源县,200034
滕州市,703568
垦利区,227177
利津县,137800
广饶县,410311
龙口市,980017
莱阳市,181187
莱州市,582092
蓬莱市,327418
招远市,575000
栖霞市,127401
海阳市,303766
临朐县,163388
昌乐县,240168
青州市,465247
诸城市,712168
寿光市,903102
安丘市,225004
高密市,491360
昌邑市,307943
兖州区,579720
微山县,327336
鱼台县,100136
金乡县,139676
嘉祥县,167805
汶上县,136006
梁山县,146023
曲阜市,253888
邹城市,751256
宁阳县,114918
东平县,114816
新泰市,406370
肥城市,403767
文登区,516866
荣成市,719298
乳山市,317559
五莲县,126182
莒县,181226
沂南县,136958
郯城县,120318
沂水县,201216
兰陵县,142369
费县,204581
平邑县,103544
莒南县,175206
蒙阴县,105028
临沭县,140002
陵城区,118923
临邑县,154927
齐河县,292446
乐陵市,105977
禹城市,196320
阳谷县,139202
莘县,106428
茌平县,316363
东阿县,137644
冠县,118489
高唐县,155596
临清市,187099
沾化区,108950
惠民县,111017
阳信县,102966
无棣县,297926
博兴县,546716
邹平县,678387
曹县,171601
单县,128312
巨野县,237216
郓城县,238827
东明县,190626
中牟县,480166
巩义市,423575
荥阳市,429063
新密市,320422
新郑市,683887
登封市,250325
杞县,140016
尉氏县,176087
兰考县,174896
孟津县,154218
新安县,222326
栾川县,186154
宜阳县,115758
伊川县,201336
偃师市,205806
宝丰县,100301
汝州市,300660
汤阴县,120104
滑县,106973
林州市,200296
长垣县,210069
卫辉市,100096
辉县市,242772
修武县,110911
武陟县,126568
沁阳市,142100
孟州市,136670
濮阳县,108639
建安区,161718
鄢陵县,108397
襄城县,171801
禹州市,187170
长葛市,243283
舞阳县,107908
临颍县,134705
陕州区,159600
渑池县,238118
义马市,132600
灵宝市,218076
西峡县,140877
内乡县,100100
邓州市,146366
永城市,374266
固始县,117779
沈丘县,127919
郸城县,100988
太康县,100523
鹿邑县,125238
项城市,109669
济源市,404054
阳新县,150000
大冶市,449573
丹江口市,149238
夷陵区,260168
远安县,115372
宜都市,280001
当阳市,175386
枝江市,178068
襄州区,371591
南漳县,133162
谷城县,188629
保康县,100576
老河口市,402026
枣阳市,307419
宜城市,267496
京山县,162230
沙洋县,114253
钟祥市,205690
云梦县,137485
应城市,167735
安陆市,111129
汉川市,223239
公安县,123442
松滋市,182200
红安县,167073
蕲春县,134050
黄梅县,114500
麻城市,192825
武穴市,186189
嘉鱼县,106735
赤壁市,184917
广水市,121410
恩施市,211142
利川市,101717
仙桃市,308966
潜江市,250864
天门市,269156
望城区,460654
长沙县,885005
浏阳市,623580
宁乡市,440789
攸县,198578
醴陵市,396939
湘潭县,200350
湘乡市,150206
耒阳市,146294
邵东县,144398
汨罗市,113017
澧县,101273
桃源县,114381
桂阳县,162989
永兴县,138395
资兴市,155955
祁阳县,104821
宁远县,112796
冷水江市,111422
从化区,269187
增城区,834038
斗门区,262401
潮阳区,198857
澄海区,210510
禅城区,1057995
南海区,2248715
顺德区,2229893
三水区,543813
高明区,363672
新会区,519100
台山市,266888
开平市,233348
鹤山市,273888
恩平市,105083
廉江市,116928
电白区,239385
高州市,173830
化州市,118650
信宜市,101133
高要区,135275
四会市,203750
惠阳区,483288
博罗县,441089
惠东县,379443
梅县区,197317
平远县,255503
兴宁市,114809
阳东区,120607
阳春市,112807
清新区,132887
佛冈县,338245
英德市,163487
潮安区,221844
揭东区,111284
普宁市,214070
新兴县,175233
罗定市,125000
武鸣区,148758
宾阳县,184310
横县,134252
临桂区,307902
灵川县,107536
藤县,118817
岑溪市,182135
东兴市,105476
平南县,181238
桂平市,101439
容县,102398
陆川县,113700
博白县,166036
北流市,248624
平果县,164088
靖西市,139618
琼海市,167416
文昌市,271091
万宁市,162400
东方市,138091
澄迈县,618002
临高县,100460
昌江黎族自治县,116117
陵水黎族自治县,457441
綦江区,378466
大足区,376927
长寿区,368059
江津区,700177
合川区,415264
永川区,482404
南川区,233071
璧山区,558972
铜梁区,297000
潼南区,214155
荣昌区,259166
开州区,246819
梁平区,214568
武隆区,149691
丰都县,190400
垫江县,194753
忠县,166606
云阳县,168514
奉节县,171985
巫山县,113483
石柱土家族自治县,133690
秀山土家族苗族自治县,125972
酉阳土家族苗族自治县,120636
彭水苗族土家族自治县,140381
新都区,1049328
温江区,369055
双流区,933113
郫都区,418810
金堂县,206729
大邑县,250864
蒲江县,132344
新津县,221012
都江堰市,476144
彭州市,272472
邛崃市,977995
崇州市,205493
简阳市,1739932
泸县,149002
合江县,107676
古蔺县,163133
中江县,100158
广汉市,170283
什邡市,161087
绵竹市,214234
江油市,190670
射洪县,110360
峨眉山市,291902
阆中市,105376
彭山区,156755
仁寿县,234200
宜宾县,190560
岳池县,117648
武胜县,115641
邻水县,103612
达川区,131332
宣汉县,170050
大竹县,200259
渠县,104652
安岳县,130215
松潘县,169155
黑水县,110987
甘孜县,183667
西昌市,410580
冕宁县,108342
开阳县,248994
清镇市,161694
六枝特区,130103
水城县,215225
盘州市,505252
播州区,190800
仁怀市,449791
平坝区,118886
七星关区,255007
大方县,100350
黔西县,106969
金沙县,190036
织金县,239876
威宁彝族回族苗族自治县,311206
赫章县,128570
碧江区,129135
松桃苗族自治县,127150
兴义市,709376
兴仁县,150016
贞丰县,188932
安龙县,355387
凯里市,241647
都匀市,189970
福泉市,155030
瓮安县,231369
龙里县,224363
呈贡区,372022
晋宁区,205423
嵩明县,108013
寻甸回族彝族自治县,103437
安宁市,288778
陆良县,151081
富源县,105063
会泽县,119359
宣威市,130599
澄江县,190193
新平彝族傣族自治县,126701
腾冲市,169885
昭阳区,113840
永善县,167568
镇雄县,116525
楚雄市,231877
个旧市,120516
开远市,178875
蒙自市,187066
弥勒市,172183
建水县,128260
文山市,200700
景洪市,110294
大理市,316706
盈江县,105870
长安区,239837
高陵区,117293
彬县,100056
韩城市,301452
志丹县,178029
吴起县,192700
黄陵县,152807
南郑区,318171
府谷县,229748
靖边县,139911
定边县,116212
神木市,714512
凉州区,123260
环县,336983
临夏市,112890
格尔木市,140016
德令哈市,112867
永宁县,126633
贺兰县,110566
灵武市,303082
中宁县,111488
鄯善县,124765
伊州区,380440
昌吉市,421080
阜康市,160132
吉木萨尔县,226142
博乐市,107443
库尔勒市,344035
阿克苏市,193445
库车县,338408
沙雅县,100138
拜城县,135341
喀什市,209126
和田市,215587
伊宁市,215757
奎屯市,123709
霍尔果斯市,227658
乌苏市,151003
石河子市,440075
五家渠市,194707
