name,area,popall,popcity,companies,worker,industry_comp,big_comp
白云区人和镇,7440,183812,5178,1921,53985,836,72
白云区太和镇,15537,375940,3844,3018,78261,1394,102
白云区钟落潭镇,16900,219335,11047,2091,57987,1401,120
白云区江高镇,10228,196862,23562,1689,73971,821,111
黄埔区九龙镇,17942,108575,13008,650,39923,140,42
番禺区南村镇,4700,297772,86076,6504,103622,2172,73
番禺区新造镇,1400,31328,7241,112,7226,88,14
番禺区化龙镇,5373,78137,3005,492,47361,245,53
番禺区石楼镇,12600,152021,73144,1256,55846,485,94
番禺区沙湾镇,3745,115988,92785,2982,78756,1265,58
番禺区石基镇,4703,108224,21080,2601,50182,1515,84
花都区梯面镇,9128,10614,1698,59,2613,25,5
花都区花山镇,11640,118570,11446,2075,68768,629,79
花都区花东镇,20844,165128,21543,1638,43092,621,68
花都区炭步镇,11330,69415,39707,1002,29918,450,69
花都区赤坭镇,16040,57835,9014,210,4133,100,20
花都区狮岭镇,13631,271060,87521,2996,171032,1503,158
南沙区万顷沙镇,14285,50210,8000,185,9800,15,15
南沙区横沥镇,5413,42073,1329,269,4145,62,20
南沙区黄阁镇,7650,55458,7000,114,33802,61,61
南沙区东涌镇,9200,190245,18094,2589,132836,915,162
南沙区大岗镇,9007,130296,87931,854,41256,514,49
南沙区榄核镇,7450,89107,17893,816,45415,503,70
从化区温泉镇,21224,54300,5614,283,9456,72,17
从化区良口镇,43915,42800,4461,123,3933,10,1
从化区吕田镇,39300,32000,3107,160,2469,11,1
从化区太平镇,21033,99300,15329,841,28220,280,62
从化区鳌头镇,41000,150000,14369,420,21000,165,14
增城区新塘镇,8632,257894,97321,5574,143300,1800,492
增城区石滩镇,17097,146691,10066,543,10974,300,110
增城区中新镇,23237,94166,13027,237,10249,218,72
增城区正果镇,23941,62595,2774,114,1728,51,4
增城区派潭镇,28900,77567,7236,474,3627,50,
增城区小楼镇,13600,40582,3895,135,3010,48,5
增城区仙村镇,5665,48132,6570,253,12200,200,51
武江区西联镇,6900,35384,8450,354,30576,46,32
武江区西河镇,6300,24368,1829,123,1431,31,3
武江区龙归镇,23700,35433,3272,86,1250,30,1
武江区江湾镇,21757,5481,1273,20,210,11,
武江区重阳镇,8200,13911,670,15,174,5,
浈江区新韶镇,10600,17891,15742,258,2323,28,
浈江区乐园镇,2400,67003,8326,676,10303,18,14
浈江区十里亭镇,5490,75901,74043,489,32357,12,12
浈江区犁市镇,30500,41090,7225,243,3833,81,16
浈江区花坪镇,7650,5080,1297,87,576,,
曲江区马坝镇,18886,147175,15547,776,22137,88,17
曲江区大塘镇,17281,30112,2760,53,830,38,
曲江区枫湾镇,22000,14241,1292,38,235,13,1
曲江区小坑镇,16446,5002,1080,20,488,15,
曲江区沙溪镇,21000,12789,970,69,2942,34,5
曲江区乌石镇,11866,14942,1235,77,1072,30,6
曲江区樟市镇,22860,25976,1668,33,243,15,1
曲江区白土镇,13905,22241,1632,91,6290,57,17
曲江区罗坑镇,21866,7830,539,30,127,20,1
始兴县太平镇,28725,69649,50784,361,28929,123,53
始兴县马市镇,27710,31293,2128,43,1833,28,3
始兴县澄江镇,21029,8943,243,12,188,6,
始兴县顿岗镇,9500,22221,4138,21,327,15,
始兴县罗坝镇,31419,15607,1814,30,601,20,1
始兴县司前镇,25789,9688,2589,14,118,12,
始兴县隘子镇,32183,15578,1855,12,76,12,
始兴县城南镇,5286,19239,5964,24,983,16,1
始兴县沈所镇,12513,19120,599,7,73,4,
始兴县深渡水乡,19040,4762,980,12,350,10,
仁化县闻韶镇,9800,4475,982,39,195,3,
仁化县扶溪镇,18000,10656,2831,32,442,17,
仁化县长江镇,31300,22919,6000,61,1988,46,2
仁化县城口镇,32200,8745,2679,20,126,19,2
仁化县红山镇,16670,8095,389,28,250,23,1
仁化县石塘镇,8000,9371,4460,10,122,4,2
仁化县董塘镇,19300,42368,7845,232,1242,26,15
仁化县大桥镇,16900,7703,696,47,681,12,3
仁化县周田镇,28900,20730,3577,73,2100,35,22
仁化县黄坑镇,17500,8947,1264,27,262,15,
翁源县龙仙镇,43158,117476,60750,509,3264,129,6
翁源县坝仔镇,38298,41710,3300,97,520,53,2
翁源县江尾镇,33355,37606,6100,143,720,37,2
翁源县官渡镇,23695,39770,3950,192,2378,86,22
翁源县周陂镇,21378,36871,2024,48,1520,18,1
翁源县翁城镇,13719,32706,6087,117,3367,51,23
翁源县新江镇,34299,37408,2239,116,1052,27,1
乳源瑶族自治县乳城镇,20935,73145,6265,794,20215,162,50
乳源瑶族自治县一六镇,7758,14950,593,58,290,7,1
乳源瑶族自治县桂头镇,12451,28005,7573,121,1637,49,11
乳源瑶族自治县洛阳镇,58825,8762,365,67,384,51,1
乳源瑶族自治县大布镇,22026,7629,1025,27,367,10,
乳源瑶族自治县大桥镇,46572,28864,1600,90,633,23,1
乳源瑶族自治县东坪镇,33297,9099,1844,50,813,31,
乳源瑶族自治县游溪镇,13360,9309,448,37,200,18,
乳源瑶族自治县必背镇,14677,7737,205,16,80,7,
新丰县黄磜镇,24700,7387,659,50,368,16,5
新丰县马头镇,53035,28063,2578,126,1198,29,18
新丰县梅坑镇,31000,19003,1187,84,683,38,9
新丰县沙田镇,24200,14370,929,44,320,11,1
新丰县遥田镇,21400,27061,1406,34,247,10,1
新丰县回龙镇,19300,17488,2894,84,640,19,7
乐昌市北乡镇,9547,11977,1020,33,312,16,
乐昌市九峰镇,19931,17445,2218,80,421,25,
乐昌市廊田镇,16239,29580,11500,110,2753,43,8
乐昌市长来镇,11650,21495,5493,96,2206,24,7
乐昌市梅花镇,19833,50912,16480,98,3090,19,1
乐昌市三溪镇,7251,3382,1486,12,260,4,
乐昌市坪石镇,27153,74368,43417,227,3867,52,7
乐昌市黄圃镇,7910,16267,2573,22,170,6,
乐昌市五山镇,18600,8425,2198,21,106,,
乐昌市两江镇,13300,8720,1400,24,251,18,
乐昌市沙坪镇,14600,12021,794,5,95,5,
乐昌市云岩镇,6647,8612,723,8,85,3,
乐昌市秀水镇,5581,12601,625,38,465,12,1
乐昌市大源镇,28206,10511,10511,47,255,36,
乐昌市庆云镇,8854,7388,1266,27,425,11,1
乐昌市白石镇,7925,10890,1489,32,190,4,
南雄市乌迳镇,15702,28026,16462,96,2343,16,1
南雄市界址镇,5639,8555,1413,42,1358,4,
南雄市坪田镇,13826,16363,1694,65,1795,7,
南雄市黄坑镇,5827,15851,4046,75,1970,13,2
南雄市邓坊镇,11804,10376,2390,75,1779,14,
南雄市油山镇,14663,16554,2230,104,1666,18,
南雄市南亩镇,11126,10233,1213,59,1305,7,
南雄市水口镇,10680,15683,1652,77,1565,10,1
南雄市江头镇,13108,7171,1580,89,1595,27,2
南雄市湖口镇,7364,18231,3128,114,2922,22,2
南雄市珠玑镇,19753,23521,3968,198,4275,41,4
南雄市主田镇,16567,9478,1842,59,1090,15,1
南雄市古市镇,9863,12827,1728,259,16589,85,42
南雄市全安镇,19044,16841,1349,127,5296,38,5
南雄市百顺镇,19142,10529,2013,73,1186,35,
南雄市澜河镇,13925,6332,1048,56,1220,21,
南雄市帽子峰镇,9721,6454,952,46,1021,7,
香洲区唐家湾镇,13900,127543,127543,3046,91118,151,151
香洲区南屏镇,6070,135405,135405,108,9617,20,20
香洲区横琴镇,8288,9436,9436,3366,27290,38,1
香洲区桂山镇,650,2035,2035,269,3000,,
香洲区万山镇,2300,1473,1363,167,2225,1,
香洲区担杆镇,4190,1028,1028,350,3850,,
斗门区莲洲镇,8660,46466,2468,62,5048,29,4
斗门区斗门镇,10500,52666,7200,153,18547,55,23
斗门区乾务镇,19062,81433,14280,308,28005,258,63
斗门区白蕉镇,17800,125225,38686,265,13600,48,48
斗门区井岸镇,9960,172983,76825,161,62190,60,60
金湾区三灶镇,24306,155842,,837,62125,540,118
金湾区南水镇,15294,35966,30598,781,25157,384,107
金湾区红旗镇,12300,90216,56000,135,34949,76,76
金湾区平沙镇,15500,79647,51103,803,25371,97,61
龙湖区外砂镇,2935,86433,86433,1144,42693,808,24
龙湖区新溪镇,2740,71883,71883,82,3003,54,9
潮阳区海门镇,2780,126298,110748,313,8122,206,4
潮阳区河溪镇,6350,79876,5965,7,170,6,
潮阳区和平镇,5894,209390,111821,615,53800,603,115
潮阳区西胪镇,10982,198359,15672,123,3075,14,
潮阳区关埠镇,5456,112202,112202,29,449,3,
潮阳区谷饶镇,7029,184755,178368,3100,156690,1200,158
潮阳区贵屿镇,5217,170876,20686,1498,44960,1042,53
潮阳区铜盂镇,4240,134012,25372,928,6000,215,25
潮阳区金灶镇,7890,123976,67049,26,310,26,1
潮南区井都镇,4599,81005,34929,110,4251,26,3
潮南区成田镇,5708,98074,4752,225,7000,60,15
潮南区司马浦镇,3064,157006,33627,571,16697,323,52
潮南区陈店镇,2677,131163,70270,1045,22608,455,87
潮南区两英镇,8521,235784,14440,536,20340,340,82
潮南区仙城镇,5471,123245,45863,230,5762,90,7
潮南区胪岗镇,5024,149491,51243,392,26866,324,46
潮南区红场镇,6955,23351,2363,13,110,7,
潮南区雷岭镇,6228,40288,2865,22,518,6,2
潮南区陇田镇,7141,132401,13164,212,6210,107,16
澄海区上华镇,2174,38382,5486,90,4151,77,11
澄海区隆都镇,3384,75508,5304,90,2623,83,5
澄海区莲下镇,5609,127288,67277,1645,33021,1152,46
澄海区莲上镇,2950,59662,57945,374,17990,184,13
澄海区溪南镇,4066,69925,61070,308,4615,111,26
澄海区东里镇,3492,79174,79174,818,19145,238,24
澄海区盐鸿镇,3072,49008,48008,391,4000,102,21
澄海区莲华镇,1991,28714,13370,302,2820,290,1
南澳县后宅镇,4088,36095,32841,778,10453,31,1
南澳县云澳镇,2046,18263,17273,78,775,6,1
南澳县深澳镇,4705,12077,5543,88,1158,11,3
禅城区南庄镇,7603,193827,193827,12935,67958,2256,227
南海区九江镇,9501,210351,210351,5782,72800,2847,193
南海区西樵镇,17663,292776,55279,4529,105300,3515,249
南海区丹灶镇,14348,163000,58002,3000,75000,1900,211
南海区狮山镇,33060,806670,806670,22634,309860,10317,918
南海区大沥镇,9590,614874,614874,20420,204810,4472,230
南海区里水镇,14828,435998,435998,8128,189850,5514,463
顺德区陈村镇,5070,189565,106606,5127,73340,1421,129
顺德区北滘镇,9211,324764,324764,8956,189600,2924,218
顺德区乐从镇,7785,319324,135817,16112,186842,2177,37
顺德区龙江镇,7385,301361,301361,10227,152667,3101,177
顺德区杏坛镇,12198,159319,57647,5434,13427,2165,132
顺德区均安镇,8013,170543,94419,3320,60255,1611,146
三水区大塘镇,9815,50342,15720,423,34450,204,141
三水区乐平镇,19201,141865,33177,4085,116860,825,265
三水区白坭镇,6663,67069,44826,356,33086,295,98
三水区芦苞镇,10395,42083,8534,520,28126,149,76
三水区南山镇,12421,24277,2019,80,3800,37,22
高明区杨和镇,22833,56990,9985,1284,35749,612,100
