name,area,popall,popcity,companies,worker,industry_comp,big_comp,xzjd,coords,lng,lat
白云区人和镇,7440,183812.0,5178.0,1921.0,53985.0,836.0,72.0,白云区人和镇,POINT (113.2858332746868 23.33686388278574),113.28583327468675,23.336863882785735
白云区太和镇,15537,375940.0,3844.0,3018.0,78261.0,1394.0,102.0,白云区太和镇,POINT (113.3833597950562 23.27996073671062),113.38335979505618,23.27996073671062
白云区钟落潭镇,16900,219335.0,11047.0,2091.0,57987.0,1401.0,120.0,白云区钟落潭镇,POINT (113.4087375145689 23.36037664898155),113.40873751456888,23.36037664898155
白云区江高镇,10228,196862.0,23562.0,1689.0,73971.0,821.0,111.0,白云区江高镇,POINT (113.1968963255077 23.30720518073331),113.19689632550771,23.307205180733305
番禺区南村镇,4700,297772.0,86076.0,6504.0,103622.0,2172.0,73.0,番禺区南村镇,POINT (113.3714862102683 23.00817190663675),113.37148621026826,23.00817190663675
番禺区新造镇,1400,31328.0,7241.0,112.0,7226.0,88.0,14.0,番禺区新造镇,POINT (113.4219586581947 23.03982458523744),113.42195865819467,23.03982458523744
番禺区化龙镇,5373,78137.0,3005.0,492.0,47361.0,245.0,53.0,番禺区化龙镇,POINT (113.462134335141 23.03651571800607),113.46213433514099,23.036515718006072
番禺区石楼镇,12600,152021.0,73144.0,1256.0,55846.0,485.0,94.0,番禺区石楼镇,POINT (113.5087704186297 22.94528918730447),113.5087704186297,22.945289187304475
番禺区沙湾镇,3745,115988.0,92785.0,2982.0,78756.0,1265.0,58.0,番禺区沙湾镇,POINT (113.312770115738 22.90771714450553),113.31277011573799,22.90771714450553
番禺区石基镇,4703,108224.0,21080.0,2601.0,50182.0,1515.0,84.0,番禺区石基镇,POINT (113.4426984708388 22.94888908545169),113.44269847083876,22.948889085451686
花都区梯面镇,9128,10614.0,1698.0,59.0,2613.0,25.0,5.0,花都区梯面镇,POINT (113.2720357271184 23.56866417888058),113.27203572711842,23.56866417888058
花都区花山镇,11640,118570.0,11446.0,2075.0,68768.0,629.0,79.0,花都区花山镇,POINT (113.2772572606606 23.48203936779734),113.27725726066058,23.482039367797338
花都区花东镇,20844,165128.0,21543.0,1638.0,43092.0,621.0,68.0,花都区花东镇,POINT (113.376476147186 23.4650517887458),113.37647614718595,23.465051788745797
花都区炭步镇,11330,69415.0,39707.0,1002.0,29918.0,450.0,69.0,花都区炭步镇,POINT (113.0830702294846 23.32849331132451),113.0830702294846,23.328493311324515
花都区赤坭镇,16040,57835.0,9014.0,210.0,4133.0,100.0,20.0,花都区赤坭镇,POINT (113.0402153393223 23.41817049379761),113.04021533932226,23.418170493797607
花都区狮岭镇,13631,271060.0,87521.0,2996.0,171032.0,1503.0,158.0,花都区狮岭镇,POINT (113.1703931284758 23.47686967120069),113.17039312847575,23.476869671200685
南沙区万顷沙镇,14285,50210.0,8000.0,185.0,9800.0,15.0,15.0,南沙区万顷沙镇,POINT (113.6218413399601 22.60904074821602),113.62184133996007,22.609040748216017
南沙区横沥镇,5413,42073.0,1329.0,269.0,4145.0,62.0,20.0,南沙区横沥镇,POINT (113.4952154586561 22.74267558493102),113.49521545865606,22.742675584931025
南沙区黄阁镇,7650,55458.0,7000.0,114.0,33802.0,61.0,61.0,南沙区黄阁镇,POINT (113.5227721222346 22.83287225705239),113.52277212223461,22.832872257052394
南沙区东涌镇,9200,190245.0,18094.0,2589.0,132836.0,915.0,162.0,南沙区东涌镇,POINT (113.4439785616448 22.8700167469335),113.44397856164478,22.870016746933498
南沙区大岗镇,9007,130296.0,87931.0,854.0,41256.0,514.0,49.0,南沙区大岗镇,POINT (113.4217150139715 22.7858680368816),113.42171501397151,22.785868036881602
南沙区榄核镇,7450,89107.0,17893.0,816.0,45415.0,503.0,70.0,南沙区榄核镇,POINT (113.3532854125954 22.85450412074032),113.35328541259544,22.854504120740323
武江区西联镇,6900,35384.0,8450.0,354.0,30576.0,46.0,32.0,武江区西联镇,POINT (113.5135757019525 24.7657107586254),113.51357570195253,24.765710758625403
武江区西河镇,6300,24368.0,1829.0,123.0,1431.0,31.0,3.0,武江区西河镇,POINT (113.5222090968411 24.82493629035758),113.5222090968411,24.824936290357577
武江区龙归镇,23700,35433.0,3272.0,86.0,1250.0,30.0,1.0,武江区龙归镇,POINT (113.4037009498625 24.70565320655442),113.40370094986254,24.70565320655442
武江区江湾镇,21757,5481.0,1273.0,20.0,210.0,11.0,,武江区江湾镇,POINT (113.2332142044125 24.62338209883514),113.23321420441246,24.62338209883514
武江区重阳镇,8200,13911.0,670.0,15.0,174.0,5.0,,武江区重阳镇,POINT (113.4490219686707 24.86380990173695),113.44902196867073,24.863809901736946
浈江区新韶镇,10600,17891.0,15742.0,258.0,2323.0,28.0,,浈江区新韶镇,POINT (113.661074879491 24.80859775799172),113.66107487949103,24.808597757991723
浈江区乐园镇,2400,67003.0,8326.0,676.0,10303.0,18.0,14.0,浈江区乐园镇,POINT (113.5588290053703 24.74092221909964),113.55882900537026,24.740922219099645
浈江区十里亭镇,5490,75901.0,74043.0,489.0,32357.0,12.0,12.0,浈江区十里亭镇,POINT (113.6023777214523 24.85282610748733),113.60237772145234,24.852826107487328
浈江区犁市镇,30500,41090.0,7225.0,243.0,3833.0,81.0,16.0,浈江区犁市镇,POINT (113.5489174753984 24.94700874879098),113.54891747539844,24.94700874879098
浈江区花坪镇,7650,5080.0,1297.0,87.0,576.0,,,浈江区花坪镇,POINT (113.5343269144217 25.02346156017291),113.53432691442173,25.023461560172912
